roi_policy,fov_id,dataset,gt_signed_um,pred_signed_um,abs_error_um,qualitative_panel_path
center_top1,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/pbs_imgs/FieldPos404_Cam01_RGB_MB/FieldPos404_Cam01_RGB_MB_page_9.png,pbs,-1.5,3.0791375637054443,4.579137563705444,/home/dineth/focus_measure/journal/Regression/data/out_final_phase/smears/evaluation/qualitative_failure_panels/center_top1/FieldPos404_Cam01_RGB_MB_page_9.png
center_top1,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/pbs_imgs/FieldPos404_Cam01_RGB_MB/FieldPos404_Cam01_RGB_MB_page_5.png,pbs,-3.5,1.0601141452789307,4.560114145278931,/home/dineth/focus_measure/journal/Regression/data/out_final_phase/smears/evaluation/qualitative_failure_panels/center_top1/FieldPos404_Cam01_RGB_MB_page_5.png
center_top1,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/pbs_imgs/FieldPos404_Cam01_RGB_MB/FieldPos404_Cam01_RGB_MB_page_10.png,pbs,-1.0,3.5000483989715576,4.500048398971558,/home/dineth/focus_measure/journal/Regression/data/out_final_phase/smears/evaluation/qualitative_failure_panels/center_top1/FieldPos404_Cam01_RGB_MB_page_10.png
center_top1,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/pbs_imgs/FieldPos404_Cam01_RGB_MB/FieldPos404_Cam01_RGB_MB_page_4.png,pbs,-4.0,0.4961612820625305,4.4961612820625305,/home/dineth/focus_measure/journal/Regression/data/out_final_phase/smears/evaluation/qualitative_failure_panels/center_top1/FieldPos404_Cam01_RGB_MB_page_4.png
center_top1,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_1/pos002_1_page_7.png,bma,2.5,-1.9421734809875488,4.442173480987549,/home/dineth/focus_measure/journal/Regression/data/out_final_phase/smears/evaluation/qualitative_failure_panels/center_top1/pos002_1_page_7.png
center_top1,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/pbs_imgs/FieldPos404_Cam01_RGB_MB/FieldPos404_Cam01_RGB_MB_page_8.png,pbs,-2.0,2.4063613414764404,4.40636134147644,/home/dineth/focus_measure/journal/Regression/data/out_final_phase/smears/evaluation/qualitative_failure_panels/center_top1/FieldPos404_Cam01_RGB_MB_page_8.png
center_top1,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/pbs_imgs/FieldPos404_Cam01_RGB_MB/FieldPos404_Cam01_RGB_MB_page_6.png,pbs,-3.0,1.3891340494155884,4.389134049415588,/home/dineth/focus_measure/journal/Regression/data/out_final_phase/smears/evaluation/qualitative_failure_panels/center_top1/FieldPos404_Cam01_RGB_MB_page_6.png
center_top1,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/pbs_imgs/FieldPos404_Cam01_RGB_MB/FieldPos404_Cam01_RGB_MB_page_11.png,pbs,-0.5,3.79095458984375,4.29095458984375,/home/dineth/focus_measure/journal/Regression/data/out_final_phase/smears/evaluation/qualitative_failure_panels/center_top1/FieldPos404_Cam01_RGB_MB_page_11.png
center_top1,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/pbs_imgs/FieldPos404_Cam01_RGB_MB/FieldPos404_Cam01_RGB_MB_page_7.png,pbs,-2.5,1.7546672821044922,4.254667282104492,/home/dineth/focus_measure/journal/Regression/data/out_final_phase/smears/evaluation/qualitative_failure_panels/center_top1/FieldPos404_Cam01_RGB_MB_page_7.png
center_top1,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/pbs_imgs/FieldPos321_Cam01_RGB_MB/FieldPos321_Cam01_RGB_MB_page_14.png,pbs,0.5,4.752369403839111,4.252369403839111,/home/dineth/focus_measure/journal/Regression/data/out_final_phase/smears/evaluation/qualitative_failure_panels/center_top1/FieldPos321_Cam01_RGB_MB_page_14.png
random_k@k=1,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos004_3/pos004_3_page_4.png,bma,-3.5,3.0507357120513916,6.550735712051392,/home/dineth/focus_measure/journal/Regression/data/out_final_phase/smears/evaluation/qualitative_failure_panels/random_k_k=1/pos004_3_page_4.png
random_k@k=1,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/pbs_imgs/FieldPos472_Cam01_RGB_MB/FieldPos472_Cam01_RGB_MB_page_14.png,pbs,2.5,-3.6119184494018555,6.1119184494018555,/home/dineth/focus_measure/journal/Regression/data/out_final_phase/smears/evaluation/qualitative_failure_panels/random_k_k=1/FieldPos472_Cam01_RGB_MB_page_14.png
random_k@k=1,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos003_2/pos003_2_page_12.png,bma,3.0,-2.4355859756469727,5.435585975646973,/home/dineth/focus_measure/journal/Regression/data/out_final_phase/smears/evaluation/qualitative_failure_panels/random_k_k=1/pos003_2_page_12.png
random_k@k=1,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos008_1/pos008_1_page_10.png,bma,3.0,-2.2186484336853027,5.218648433685303,/home/dineth/focus_measure/journal/Regression/data/out_final_phase/smears/evaluation/qualitative_failure_panels/random_k_k=1/pos008_1_page_10.png
random_k@k=1,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/pbs_imgs/FieldPos435_Cam01_RGB_MB/FieldPos435_Cam01_RGB_MB_page_11.png,pbs,3.5,-1.5592788457870483,5.059278845787048,/home/dineth/focus_measure/journal/Regression/data/out_final_phase/smears/evaluation/qualitative_failure_panels/random_k_k=1/FieldPos435_Cam01_RGB_MB_page_11.png
